Practice code,Practice name,ICB area,Borough,Post Code,Matched Address,Matched Postcode,Latitude,Longitude,TomTom Score,Match Type
F83623,Keats Group Practice,NCL,Camden,NW3 1NR,"28A Rosslyn Hill, Hampstead, London, NW3 1NH",,51.55488,-0.171719,10.1927070618,Name + postcode match
F83632,Queens Crescent Practice,NCL,Camden,NW5 4EB,"76 Queen's Crescent, Kentish Town, London, NW5 4EB",,51.5497,-0.151765,13.0667867661,Name + postcode match
F83633,Daleham Gardens Surgery,NCL,Camden,NW3 5BY,"5 Daleham Gardens, Swiss Cottage, London, NW3 5BY",,51.54723,-0.17438,13.0667867661,Name + postcode match
F83635,Kings Cross Surgery,NCL,Camden,NW1 1HY,"83 Chalton Street, Regents Park, London, NW1 1HY",,51.5299,-0.130592,13.0667867661,Name + postcode match
F83658,Belsize Priory Medical Practice (Group),NCL,Camden,NW6 4BJ,"158 Belsize Road, South & West Hampstead, London, NW6 4BJ",,51.5405,-0.185244,17.2252044678,Name + postcode match
F83665,Swiss Cottage Surgery,NCL,Camden,NW3 3NP,"Winchester Road, Swiss Cottage, London, NW3 3NP",,51.542992,-0.172025,10.438079834,Name + postcode match
Y02674,Camden Health Improvement Practice,NCL,Camden,NW1 2LS,"106 Hampstead Road, Regents Park, London, NW1 2LS",,51.5282,-0.138346,15.1659879684,Name + postcode match
B8T9I,East Enfield Practice: Brick Lane,NCL,Enfield,,"28 Brick Lane, Enfield, EN3 5BA",,51.6573,-0.048597,12.2261066437,Name + postcode match
D6Q8D,MHP: Southbury Surgery,NCL,Enfield,,"73 Southbury Road, Enfield, EN1 1PJ",,51.652,-0.0742,6.028345108,Name + postcode match
D9T4W,MHP: Bush Hill Park Medical Centre,NCL,Enfield,,"264 East Park Road, Leicester, LE5 5FD",,52.6336,-1.10437,9.6025438309,Name + postcode match
F85634,East Enfield Medical Centre,NCL,Enfield,EN3 4EZ,"188 Hertford Road, High Street, Enfield, EN3 4",,51.6462,-0.047096,12.2919082642,Name + postcode match
I1Z8L,MHP: Carlton House Surgery,NCL,Enfield,,"76 Carlton Road, Worksop, S80 1PH",,53.310016,-1.121541,6.9266324043,Name + postcode match
O0H1S,MHP: Hertford Road Surgery,NCL,Enfield,,"308 Hertford Road, Lower Edmonton, London, N9 7HD",,51.6325,-0.054155,7.7491960526,Name + postcode match
X6I6K,MHP: Trinity Avenue Surgery,NCL,Enfield,,"13 Saint Augustines Road, Wisbech, PE13 3AG",,52.665701,0.163931,7.5314621925,Name + postcode match
Z3D3X,MHP: Willow House Surgery,NCL,Enfield,,"10 Hill House Road, Bristol, BS16 5RR",,51.48523,-2.49707,7.2308392525,Name + postcode match
F85007,Lawrence House Surgery,NCL,Haringey,N15 4JR,"107 Philip Lane, Seven Sisters, London, N15 4JR",,51.5887,-0.0785,13.0667867661,Name + postcode match
F85008,Staunton Group Practice,NCL,Haringey,N22 8HE,"3 Bounds Green Road, Wood Green, London, N22 8HE",,51.59886,-0.11209,13.0667867661,Name + postcode match
F85013,Tynemouth Medical Practice,NCL,Haringey,N15 4RH,"4 Tynemouth Road, Seven Sisters, London, N15 4AL",,51.5863,-0.068317,10.5165462494,Name + postcode match
F85017,Charlton House Medical Centre,NCL,Haringey,N17 6SB,"581A High Road, Tottenham, London, N17 6SB",,51.5953,-0.069246,15.1659879684,Name + postcode match
F85028,Bruce Grove Primary Health Care Centre,NCL,Haringey,N17 6QB,"461 High Road, Tottenham, London, N17 6QB",,51.59209,-0.07006,19.2455692291,Name + postcode match
F85028001,Bruce Grove Primary Health Care Centre: Castleview Surgery,NCL,Haringey,,"461 High Road, Tottenham, London, N17 6QB",,51.59209,-0.07006,14.3474884033,Name + postcode match
F85030,Somerset Gardens Family Health Centre,NCL,Haringey,N17 8NW,"4 Creighton Road, Tottenham, London, N17 8SH",,51.6053,-0.073457,14.3511238098,Name + postcode match
F85031,Westbury Medical Centre,NCL,Haringey,N22 6RX,"205 Westbury Avenue, Wood Green, London, N22 6RX",,51.59802,-0.09343,13.0667867661,Name + postcode match
F85034,Arcadian Gardens Surgery,NCL,Haringey,N22 5AB,"1 Arcadian Gardens, Wood Green, London, N22 5AB",,51.6067,-0.110759,13.0667867661,Name + postcode match
F85046,Hornsey Park Surgery,NCL,Haringey,N8 0PH,"114A Turnpike Lane, Hornsey, London, N8 0PH",,51.5893,-0.109217,13.0667867661,Name + postcode match
F85060,Havergal Surgery,NCL,Haringey,N15 3DY,"Green Lanes, Seven Sisters, London, N15 3DY",,51.5892,-0.102002,10.9264259338,Name + postcode match
F85061,Christchurch Hall Surgery,NCL,Haringey,N8 8AE,"20 Edison Road, Crouch End, London, N8 8AE",,51.57759,-0.12498,12.8072490692,Name + postcode match
F85063,The Muswell Hill Practice,NCL,Haringey,N10 3ST,"3 Muswell Hill, Muswell Hill, London, N10 3ST",,51.591,-0.141107,15.1659879684,Name + postcode match
F85064,Stuart Crescent Health Centre,NCL,Haringey,N22 5NJ,"8 Stuart Crescent, Wood Green, London, N22 5NJ",,51.60017,-0.110402,15.1659879684,Name + postcode match
F85065,Stuart Crescent Medical Practice,NCL,Haringey,N22 5NJ,"Stuart Crescent, Wood Green, London, N22 5NJ",,51.599877,-0.110565,11.3151130676,Name + postcode match
F85066,Bounds Green Group Practice,NCL,Haringey,N11 2PF,"2 Gordon Road, New Southgate, London, N11 2NY",,51.6066,-0.126478,12.6157474518,Name + postcode match
F85067,The 157 Medical Practice,NCL,Haringey,N4 3PZ,"157 Stroud Green Road, Finsbury Park, London, N4 3PZ",,51.5701,-0.114314,15.1659879684,Name + postcode match
F85069,Crouch Hall Road Surgery,NCL,Haringey,N8 8HJ,"48 Crouch Hall Road, Crouch End, London, N8 8HJ",,51.57943,-0.126265,15.1659879684,Name + postcode match
F85071,Fernlea Surgery,NCL,Haringey,N15 6JR,"114 High Road, South Tottenham, London, N15 6JR",,51.5785,-0.072772,10.9264259338,Name + postcode match
F85615,Tottenham Health Centre,NCL,Haringey,N17 8AH,"759 High Road, Tottenham, London, N17 8AH",,51.604593,-0.068297,13.0667867661,Name + postcode match
F85623,Grove Road Surgery,NCL,Haringey,N15 5HJ,"15 Grove Road, Seven Sisters, London, N15 5HJ",,51.5812,-0.081679,13.0667867661,Name + postcode match
F85628,Dowsett Road Surgery,NCL,Haringey,N17 9QX,"57 Dowsett Road, Tottenham, London, N17 9DL",,51.59489,-0.06573,10.1927070618,Name + postcode match
F85640,Cheshire Road Surgery,NCL,Haringey,N22 8JJ,"22 Cheshire Road, Wood Green, London, N22 8JJ",,51.6072,-0.113686,13.0667867661,Name + postcode match
F85669,West Green Surgery,NCL,Haringey,N8 0RA,"590 Green Lanes, Hornsey, London, N8 0RA",,51.5843,-0.099781,13.0667867661,Name + postcode match
F85675,The Alexandra Surgery,NCL,Haringey,N22 7UN,"Alexandra Park Road, Alexandra Palace, London, N22 7UN",,51.598431,-0.12929,8.8245706558,Name + postcode match
F85688,Rutland House Surgery,NCL,Haringey,N10 1DU,"40 Colney Hatch Lane, Muswell Hill, London, N10 1DU",,51.595221,-0.144626,13.0667867661,Name + postcode match
F85697,The Old Surgery,NCL,Haringey,N8 0RP,"572 Green Lanes, Hornsey, London, N8 0RP",,51.58332,-0.09963,13.0667867661,Name + postcode match
F85705,JS Medical Practice,NCL,Haringey,N15 4JR,"107 Philip Lane, Seven Sisters, London, N15 4JR",,51.5891,-0.078699,13.0667867661,Name + postcode match
F85705001,JS Medical Practice: Park Lane,NCL,Haringey,,"108 Park Lane, Tottenham, London, N17 0JP",,51.6023,-0.060199,11.696023941,Name + postcode match
F85705002,JS Medical Practice: Westbury Avenue Surgery,NCL,Haringey,,"26 Westbury Avenue, Wood Green, London, N22 6RS",,51.5936,-0.097719,12.2261066437,Name + postcode match
M4V7Y,Rutland House Surgery: Queens Avenue Practice,NCL,Haringey,,"6 George Street, Teignmouth, TQ14 8AH",,50.546013,-3.496969,9.8722400665,Name + postcode match
Y01655,The Vale Practice,NCL,Haringey,N8 8SU,"8 Lakin Drive, Barry, CF62 8GP",,51.416,-3.291,6.2362780571,Name + postcode match
Y03135,Bridge House Medical Practice,NCL,Haringey,N4 1TL,"96 Umfreville Road, Manor House, London, N4 1SA",,51.577326,-0.099145,12.2919082642,Name + postcode match
Y05330,Tottenham Hale Medical Practice,NCL,Haringey,N17 9QX,"Monument Way, Tottenham, London, N17 9QX",,51.589455,-0.065154,10.438079834,Name + postcode match
F83021,Ritchie Street Group Practice,NCL,Islington,N1 0DG,"Ritchie Street, Barnsbury, London, N1 0DG",,51.534769,-0.108189,11.3151130676,Name + postcode match
F83045,The Miller Practice,NCL,Islington,N5 2ET,"49A Highbury New Park, Highbury, London, N5 2ET",,51.5514,-0.092151,13.0667867661,Name + postcode match
F83060,The Northern Medical Centre,NCL,Islington,N7 8GG,"15A Hornsey Street, Lower Holloway, London, N7 8HE",,51.5511,-0.115531,12.2919082642,Name + postcode match
F83064,City Road Medical Centre,NCL,Islington,EC1V 2QH,"197 City Road, London, EC1V 2QH",,51.5279,-0.091101,15.1659879684,Name + postcode match
F83652,Amwell Group Practice,NCL,Islington,WC1X 0GB,"6 Naoroji Street, Grays Inn, London, WC1X 0GD",,51.528181,-0.110409,10.1927070618,Name + postcode match
F83666,Andover Medical Centre,NCL,Islington,N7 7EP,"282 Hornsey Road, Holloway, London, N7 7QZ",,51.5618,-0.116446,10.1927070618,Name + postcode match
Y03103,Medicus Select Care,NCL,Islington,N1 0AL,"28 Tenniswood Road, Enfield, EN1 3LL",,51.6625,-0.076758,8.0439548492,Name + postcode match
F82001,Halbutt Street Surgery,NEL,Barking & Dagenham,RM9 5AS,"2 Halbutt Street, Dagenham, RM9 5AS",,51.547,0.146756,13.0667867661,Name + postcode match
F82005,Church Elm Lane Medical Centre,NEL,Barking & Dagenham,RM10 9RR,"Church Elm Lane, Dagenham, RM10 9RR",,51.540123,0.154803,13.5316133499,Name + postcode match
F82009001,North Street Medical Care: Chadwell Heath Health Centre,NEL,Barking & Dagenham,,"5 Sir George's Street, Thurso, KW14 7",,58.592972,-3.520102,12.4688873291,Name + postcode match
F82012,Five Elms Medical Practice,NEL,Barking & Dagenham,RM9 5TT,"5 Five Elms Road, Dagenham, RM9 5TT",,51.553663,0.142778,15.0028057098,Name + postcode match
F82015,Hedgemans Surgery,NEL,Barking & Dagenham,RM9 6HT,"Hedgemans Road, Dagenham, RM9 6HT",,51.53986,0.142662,8.84512043,Name + postcode match
F82019,Chadwell Heath Health Centre (Dr Hamilton-Smith),NEL,Barking & Dagenham,RM6 6RT,"19 Cross Road, Chadwell Heath, Romford, RM6 4JP",,51.5678,0.1231,10.4293289185,Name + postcode match
F82621,Dewey Practice (Dr Christopher),NEL,Barking & Dagenham,RM10 7YU,"199 Reede Road, Dagenham, RM10 8EJ",,51.545105,0.160077,7.5744304657,Name + postcode match
F82660,Tulasi Medical Centre,NEL,Barking & Dagenham,RM8 3XU,"10 Bennett's Castle Lane, Dagenham, RM8 3XU",,51.561,0.124504,13.0667867661,Name + postcode match
F82661,Green Lane Surgery,NEL,Barking & Dagenham,RM8 1BX,"872 Green Lane, Dagenham, RM8 1BX",,51.5616,0.130886,13.0667867661,Name + postcode match
F82677,Dr A Moghal's Practice,NEL,Barking & Dagenham,RM8 3HP,"620 Longbridge Road, Dagenham, RM8 2AJ",,51.5514,0.115358,8.0095376968,Name + postcode match
F82686,Ashton Gardens Surgery,NEL,Barking & Dagenham,RM6 6RT,"6 Ashton Gardens, Romford, RM6 6RT",,51.5737,0.14012,13.0667867661,Name + postcode match
F86040,The Surgery (Dr A Arif),NEL,Barking & Dagenham,RM8 2AJ,"620 Longbridge Road, Dagenham, RM8 2AJ",,51.5514,0.115358,13.0667867661,Name + postcode match
Y01795,The Oval Practice,NEL,Barking & Dagenham,RM10 7YU,"281 Oxlow Lane, Dagenham, RM10 7YU",,51.551469,0.158881,8.5214366913,Name + postcode match
Y02575001,Porters Avenue Surgery: Child and Family Health Centre,NEL,Barking & Dagenham,,"79 Axe Street, Barking, IG11 7LZ",,51.53563,0.07925,11.7131032944,Name + postcode match
F84038,Beechwood Medical Centre,NEL,City & Hackney,E8 3AH,"86 Dalston Lane, Hackney, London, E8 3AH",,51.5461,-0.070581,13.0667867661,Name + postcode match
F84117,Queensbridge Group Practice,NEL,City & Hackney,E8 3XP,"24 Holly Street, Hackney, London, E8 3XP",,51.5415,-0.071469,13.0667867661,Name + postcode match
F84620001,The Wick Health Centre: Median Road Surgery,NEL,City & Hackney,,"200 Wick Road, Homerton, London, E9 5TD",,51.547423,-0.037386,9.8722400665,Name + postcode match
F84636,Barretts Grove Surgery,NEL,City & Hackney,N16 8AR,"6 Barrett's Grove, Stoke Newington, London, N16 8AR",,51.552198,-0.07827,12.8263320923,Name + postcode match
F82006,Cranham Village Surgery,NEL,Havering,RM14 1BJ,"143 Ingrebourne Gardens, Upminster, RM14 1BJ",,51.56269,0.26573,13.0667867661,Name + postcode match
F82014,Harold Hill Health Centre,NEL,Havering,RM3 9SU,"173 Gooshays Drive, Romford, RM3 9SU",,51.6063,0.2253,15.0028057098,Name + postcode match
F82016,Central Park Surgery,NEL,Havering,RM3 9SU,"173 Gooshays Drive, Romford, RM3 9SU",,51.6063,0.2253,8.4641752243,Name + postcode match
F82607,South Hornchurch Medical Practice,NEL,Havering,RM13 7XJ,"74 South End Road, Rainham, RM13 7XJ",,51.5312,0.191157,15.1659879684,Name + postcode match
F82670,Abbamoor Surgery,NEL,Havering,RM3 9SU,"Gooshays Drive, Romford, RM3 9SU",,51.603293,0.228285,6.81661129,Name + postcode match
F82674,Avon Road Surgery,NEL,Havering,RM14 1RG,"1AA Avon Road, Upminster, RM14 1RG",,51.56892,0.265951,13.0667867661,Name + postcode match
Y00312,The Robins Surgery,NEL,Havering,RM3 9SU,"Gooshays Drive, Romford, RM3 9SU",,51.603293,0.228285,6.81661129,Name + postcode match
F84010,St. Bartholomew's Surgery,NEL,Newham,E6 1FL,"1 Saint Bartholomew's Road, East Ham, London, E6 3AG",,51.531968,0.053146,8.5310077667,Name + postcode match
F84093,Tollgate Medical Centre,NEL,Newham,E6 5JS,"220 Tollgate Road, Beckton, London, E6 5JS",,51.5156,0.056376,13.0667867661,Name + postcode match
F84677,East End Medical Centre,NEL,Newham,E13 0QA,"61 Plashet Road, Plaistow, London, E13 0QA",,51.53733,0.02569,15.2927627563,Name + postcode match
F84740,Newham Transitional Practice,NEL,Newham,E12 6AQ,"30 Church Road, Manor Park, London, E12 6AQ",,51.5478,0.053847,13.0667867661,Name + postcode match
F84749,AT Medics: Carpenters Practice,NEL,Newham,E15 2JA,"252 High Street, Stratford, London, E15 2JA",,51.53733,-0.0034,10.8416337967,Name + postcode match
F84749002,AT Medics: St. Luke's Practice,NEL,Newham,,"Saint Luke's Square, Canning Town, London, E16 1HT",,51.5119,0.01361,9.8553733826,Name + postcode match
W7J9Z,Cumberland Medical Centre,NEL,Newham,,"179 Cumberland Road, Plaistow, London, E13 8LS",,51.518571,0.025656,8.1687068939,Name + postcode match
F81062,Chigwell Medical Centre,NEL,Redbridge,IG6 2TA,"300 Fencepiece Road, Ilford, IG6 2TA",,51.6055,0.083891,13.0667867661,Name + postcode match
P9T5K,Ilford Medical Centre Branch,NEL,Redbridge,,"61 Cleveland Road, Ilford, IG1 1EE",,51.55654,0.07441,8.1687068939,Name + postcode match
Y7H9K,Mathukia's Surgery Branch,NEL,Redbridge,,"281 Ilford Lane, Ilford, IG1 2SF",,51.5498,0.07537,6.028345108,Name + postcode match
E3M7U,GP at Hand - Cabot Place,NEL,Tower Hamlets,,"14 South Colonnade, Isle of Dogs, London, E14 4PA",,51.5051,-0.020943,12.327123642,Name + postcode match
F84039,Goodman's Fields Health Centre,NEL,Tower Hamlets,E1 8ZF,"Piazza Walk, Whitechapel, London, E1 8ZH",,51.513375,-0.068868,12.2095394135,Name + postcode match
F84123,Suttons Wharf Health Centre,NEL,Tower Hamlets,E2 0FA,"26 Palmers Road, Bethnal Green, London, E2 0FQ",,51.5292,-0.041827,12.2919082642,Name + postcode match
F84647,Roserton Street Surgery,NEL,Tower Hamlets,E14 3PG,"Roserton Street, Isle of Dogs, London, E14 3PG",,51.498493,-0.010051,13.0667867661,Name + postcode match
F84656,Docklands Medical Centre,NEL,Tower Hamlets,E14 9WU,"Spindrift Avenue, London, E14 9WU",,51.4912,-0.021129,13.0667867661,Name + postcode match
F84696,Tredegar Practice,NEL,Tower Hamlets,E3 5JD,"35 Saint Stephen's Road, Bow, London, E3 5JD",,51.53131,-0.03183,10.8836174011,Name + postcode match
F84710,Island Health,NEL,Tower Hamlets,E14 3BQ,"East Ferry Road, Isle of Dogs, London, E14 3BQ",,51.497104,-0.012954,6.7491197586,Name + postcode match
T5S9Y,City Square Medical Group: Cable Street,NEL,Tower Hamlets,,"445 Cable Street, Whitechapel, London, E1W 3DP",,51.51141,-0.04898,13.7952232361,Name + postcode match
F86086,Wood Street Health Centre,NEL,Waltham Forest,E17 3LA,"6 Linford Road, Walthamstow, London, E17 3LA",,51.587882,-0.003295,15.1659879684,Name + postcode match
F86689,The Bailey Practice,NEL,Waltham Forest,E17 9LY,"9 Ravenswood Road, Walthamstow, London, E17 9LY",,51.5832,-0.009036,13.0667867661,Name + postcode match
E84002,Forty Willows Surgery,NWL,Brent,HA9 9HA,"46 Forty Lane, Brent, Wembley, HA9 9HA",,51.565534,-0.271695,13.0667867661,Name + postcode match
E84007,Uxendon Crescent Surgery,NWL,Brent,HA9 9TW,"1 Uxendon Crescent, Brent, Harrow, HA9 9TW",,51.572598,-0.293845,13.0667867661,Name + postcode match
E84013,Church End Medical Centre,NWL,Brent,NW10 9HP,"66 Mayo Road, Harlesden, London, NW10 9HP",,51.54797,-0.25339,15.1659879684,Name + postcode match
E84017001,Sudbury & Alperton Medical Centre: Watford Road Surgery,NWL,Brent,,"267 Ealing Road, Brent, Wembley, HA0 1EU",,51.5369,-0.298032,11.9549016953,Name + postcode match
E84020,Jai Medical Centre,NWL,Brent,HA8 5LP,"82 Stag Lane, Brent, Edgware, HA8 5LP",,51.5982,-0.270706,13.0038108826,Name + postcode match
E84020001,Jai Medical Centre: The Sheldon Practice,NWL,Brent,,"169 Church Road, Sheldon, Birmingham, B26 3TT",,52.4605,-1.77766,10.2679080963,Name + postcode match
E84025001,Lonsdale Medical Group: Blessing Medical Centre,NWL,Brent,,"307 Kilburn Lane, Maida Hill, London, W9 3EG",,51.533083,-0.205141,10.1728639603,Name + postcode match
E84042,Kilburn Park Medical Centre,NWL,Brent,NW6 5HB,"62 Neville Close, Kilburn, London, NW6 5",,51.5326,-0.199357,12.2919082642,Name + postcode match
E84080,Staverton Surgery,NWL,Brent,NW2 5HA,"51 Staverton Road, Dollis Hill, London, NW2 5HA",,51.5444,-0.22596,10.9264259338,Name + postcode match
E84656,Roundwood Park Medical Centre,NWL,Brent,NW10 3RY,"3 Robson Avenue, Willesden, London, NW10 3RY",,51.5428,-0.235512,15.1659879684,Name + postcode match
E84704,St. Georges Medical Centre,NWL,Brent,NW2 6JH,"31 Dollis Hill Lane, Dollis Hill, London, NW2 6JH",,51.5587,-0.246106,15.1659879684,Name + postcode match
E84709,Wembley Park Drive Medical Centre,NWL,Brent,HA9 0GL,"Humphry Repton Lane, Brent, Wembley, HA9 0GL",,51.560304,-0.282183,15.1659879684,Name + postcode match
F83059,Brondesbury Medical Centre,NWL,Brent,NW6 7JQ,"279 Kilburn High Road, Brondesbury Park, London, NW6 7JR",,51.543498,-0.200152,10.1927070618,Name + postcode match
Y00206,Burnley Practice,NWL,Brent,NW10 3RY,"3 Robson Avenue, Willesden, London, NW10 3RY",,51.5428,-0.235512,10.9264259338,Name + postcode match
E87002,Victoria Medical Centre,NWL,Central London,SW1V 1SN,"29 Upper Tachbrook Street, Victoria, London, SW1V 1SN",,51.49274,-0.13887,13.0667867661,Name + postcode match
E87002001,Victoria Medical Centre: Lees Place Medical Centre,NWL,Central London,,"11 Lees Place, Mayfair, London, W1K 6LJ",,51.512092,-0.154424,14.5922613144,Name + postcode match
E87006,Little Venice Medical Centre,NWL,Central London,W2 1ND,"1 Crompton Street, Paddington, London, W2 1ND",,51.52389,-0.176447,15.1659879684,Name + postcode match
E87021,Shirland Road Medical Centre,NWL,Central London,W10 4LD,"Dart Street, North Kensington, London, W10 4LD",,51.5306,-0.207627,10.5255937576,Name + postcode match
