PHARMACY_ODS_CODE_F_CODE,SiteName,Postcode,Latitude,Longitude,GeocodeMethod,MatchedAddress
FAX79,BECKTON PHARMACY,E6 5LX,51.514483,0.057608,postcode_centroid,
FAY09,RAYS CHEMISTS,CR4 2JB,51.408182,-0.162957,postcode_centroid,
FAY44,BOOTS,TW13 6SA,51.43079,-0.389768,postcode_centroid,
FC061,BOOTS,SW12 9AU,51.443917,-0.151896,postcode_centroid,
FC075,HERBERT AND HERBERT,TW3 3LH,51.46677,-0.370419,postcode_centroid,
FC091,ZAHRA PHARMACY,W3 6LE,51.506844,-0.267097,postcode_centroid,
FC104,RUISLIP MANOR PHARMACY,HA4 9BH,51.571683,-0.411649,postcode_centroid,
FC116,ASDA PHARMACY,SE7 7ST,51.488551,0.022243,postcode_centroid,
FC161,DH ROBERTS CHEMISTS,NW5 2HR,51.556169,-0.139156,postcode_centroid,
FC163,GREENFIELD CHEMIST,EN5 1ES,51.646524,-0.1868,postcode_centroid,
FC251,NORTH HARROW PHARMACY,HA2 6EH,51.588445,-0.363196,postcode_centroid,
FC272,MANOR PARK PHARMACY,E12 5AD,51.55002,0.045407,postcode_centroid,
FC275,SVR PHARMACY,EN4 8QZ,51.646387,-0.166425,postcode_centroid,
FC313,MOTTINGHAM PHARMACY (JARMAN & DIXON),SE9 4QZ,51.43698,0.044396,postcode_centroid,
FC324,BOOTS,CR9 1SN,51.377089,-0.100546,postcode_centroid,
FC345,KURAMED PHARMACY,HA3 5RN,51.598583,-0.340393,postcode_centroid,
FC396,BRITANNIA PHARMACY,IG3 9JX,51.560709,0.098561,postcode_centroid,
FC434,ROPHARM CHEMIST,SE15 4TL,51.468578,-0.067319,postcode_centroid,
FC472,GREENFORD CHEMIST,W7 3DA,51.522682,-0.340675,postcode_centroid,
FC506,SHIRLEY PHARMACY,CR0 8SS,51.376593,-0.059858,postcode_centroid,
FC513,DAY LEWIS PHARMACY,RM13 7QX,51.528182,0.190549,postcode_centroid,
FC525,KAMSONS PHARMACY,SW4 6EB,51.465149,-0.136008,postcode_centroid,
FC528,CAM PHARMACY,SE1 7BL,51.497593,-0.112268,postcode_centroid,
FC572,VINEYARD PHARMACY,W9 1NJ,51.530255,-0.185816,postcode_centroid,
FC727,SPIVACK CHEMIST,W10 6HJ,51.517393,-0.210239,postcode_centroid,
FC766,PALMERS CHEMIST,N13 4YB,51.618243,-0.108739,postcode_centroid,
FC815,BOOTS,SW18 4TG,51.455126,-0.194295,postcode_centroid,
FC864,BOOTS,BR5 1DQ,51.38842,0.072989,postcode_centroid,
FC883,LIME GROVE PHARMACY,W12 8HA,51.502337,-0.227875,postcode_centroid,
FC896,CHISLEHURST PHARMACY,BR7 5NP,51.407679,0.055827,postcode_centroid,
FC968,BOOTS,W1C 2JL,51.514291,-0.148315,postcode_centroid,
FCA00,BOOTS,NW8 7SG,51.533631,-0.170427,postcode_centroid,
FCC60,ALMERIC PHARMACY LTD,HA3 9DA,51.595929,-0.295804,postcode_centroid,
FCD48,GRANSHAW'S CHEMIST,E11 3NJ,51.555506,0.012099,postcode_centroid,
FCF35,PHARMADEX LIMITED,TW3 3UH,51.465079,-0.365858,postcode_centroid,
FCF74,CHANA CHEMIST,NW10 3RY,51.542838,-0.235502,postcode_centroid,
FCG07,DAVIDSONS CHEMISTS,DA7 6NA,51.460449,0.161288,postcode_centroid,
FCG13,TRIPLESAVE (CHEMISTS) LTD,E17 4AZ,51.595235,-0.003169,postcode_centroid,
FCG39,MORRISONS PHARMACY,TW8 8EW,51.482797,-0.308969,postcode_centroid,
FCG45,SHAN CHEMIST,E7 8AB,51.5475,0.033611,postcode_centroid,
FCG60,DAY LEWIS PHARMACY,SW17 7AW,51.440487,-0.155661,postcode_centroid,
FCH16,DULWICH PHARMACY,SE21 8SZ,51.436586,-0.091201,postcode_centroid,
FCH47,SANCHOH LIMITED,E17 4PP,51.590586,-0.018517,postcode_centroid,
FCJ54,KL PHARMACY,HA3 8RP,51.595798,-0.31286,postcode_centroid,
FCK24,LINDSAY CHEMIST,KT2 6PF,51.413427,-0.288406,postcode_centroid,
FCK76,GEEPHARM CHEMISTS,SE18 3TN,51.481982,0.070389,postcode_centroid,
FCK89,R WALJI PHARMACY,SW15 5RW,51.463307,-0.250492,postcode_centroid,
FCK97,KENSINGTON PHARMACY,W8 6QD,51.496571,-0.19296,postcode_centroid,
FCL10,HUSBANDS PHARMACY,SW15 2SP,51.459909,-0.211856,postcode_centroid,
FCL17,BOOTS,W1T 5AP,51.523782,-0.137738,postcode_centroid,
FCM01,CAVENDISH PHARMACY,E17 6HD,51.588772,-0.031516,postcode_centroid,
FCM15,LAKEWOOD PHARMACY LIMITED,BR4 0ND,51.377095,-0.019961,postcode_centroid,
FCM38,DAY LEWIS PHARMACY,SE22 0RR,51.453495,-0.062314,postcode_centroid,
FCM67,JADE PHARMACY,TW5 0DR,51.48277,-0.380938,postcode_centroid,
FCN10,SUPERDRUG PHARMACY,SW14 7JE,51.464739,-0.267598,postcode_centroid,
FCN49,ADELL PHARMACY,UB10 9PG,51.55128,-0.448635,postcode_centroid,
FCN97,PANCHEM PHARMACY,RM14 3BS,51.556036,0.250731,postcode_centroid,
FCP17,BOOTS,HA1 1AS,51.581023,-0.336775,postcode_centroid,
FCP18,MEDINA PHARMACY,E15 3ET,51.533626,0.012663,postcode_centroid,
FCQ11,GRAFTON PHARMACY,W1T 5AZ,51.524299,-0.138019,postcode_centroid,
FCQ60,NUXLEY VILLAGE PHARMACY,DA17 5JE,51.48302,0.147176,postcode_centroid,
FCR08,BOOTS,HA4 8JB,51.574263,-0.42423,postcode_centroid,
FCR41,BOOTS,W1B 3AS,51.516741,-0.142277,postcode_centroid,
FCR61,PHARMACY ON WHEELS,W12 8HD,51.502062,-0.229326,postcode_centroid,
FCR80,TESCO INSTORE PHARMACY,IG6 1HY,51.58395,0.07759,postcode_centroid,
FCR97,QRYSTAL PHARMACY,SE1 1JH,51.499704,-0.095438,postcode_centroid,
FCT73,PHARMACENTRE,W2 2HU,51.517313,-0.166641,postcode_centroid,
FCT78,TESCO INSTORE PHARMACY,TW14 0LT,51.459297,-0.415021,postcode_centroid,
FCV30,PYRAMID PHARMACY,SW11 5QJ,51.465067,-0.157578,postcode_centroid,
FCV53,THE CADGE PHARMACY,N15 4JR,51.589105,-0.078681,postcode_centroid,
FCV61,WESTBURY CHEMIST,SW16 1BS,51.435201,-0.128523,postcode_centroid,
FCV86,MAYORS CHEMIST,E3 2AD,51.527099,-0.026608,postcode_centroid,
FCW41,WARWICK PHARMACY,N11 2EU,51.607846,-0.125447,postcode_centroid,
FCW46,TUDOR DRIVE PHARMACY,KT2 5QG,51.426965,-0.299221,postcode_centroid,
FCW76,DEEJAY CHEMIST,SE27 9AZ,51.440701,-0.106484,postcode_centroid,
FCX48,ST.CLARE CHEMIST,CR0 1LG,51.374536,-0.096169,postcode_centroid,
FCX56,BRITANNIA PHARMACY,IG1 2SN,51.546446,0.076862,postcode_centroid,
FCX67,DAY LEWIS PHARMACY,IG5 0LQ,51.590112,0.049864,postcode_centroid,
FCX89,BLISS CHEMIST,NW6 7SX,51.541132,-0.20077,postcode_centroid,
FCY55,GREEN LIGHT PHARMACY,E3 3FF,51.523951,-0.014274,postcode_centroid,
FCY66,ALPHA CHEMIST,UB5 5AU,51.537515,-0.389407,postcode_centroid,
FCY92,ZENITH PHARMACY,UB4 0RS,51.52099,-0.416052,postcode_centroid,
FD026,FOURWAY PHARMACY,SE24 9HU,51.452613,-0.099586,postcode_centroid,
FD122,SUPERDRUG PHARMACY,UB3 4DA,51.506645,-0.419215,postcode_centroid,
FD184,PERFUCARE PHARMACY,SE26 4BB,51.431157,-0.060181,postcode_centroid,
FD189,TT PHARMACY,SE20 7YZ,51.407745,-0.062106,postcode_centroid,
FD204,SUPERDRUG PHARMACY,E17 7JR,51.583368,-0.023478,postcode_centroid,
FD258,W J BOYES PHARMACY,SW12 9DR,51.451409,-0.147391,postcode_centroid,
FD303,BOOTS,SW15 1SP,51.464433,-0.214817,postcode_centroid,
FD307,UNP PHARMACY,NW9 9HH,51.585726,-0.277506,postcode_centroid,
FD419,PRIVATE PHARMACY GROUP,NW10 7NZ,51.536964,-0.271663,postcode_centroid,
FD441,WELL,E17 3LX,51.587109,-0.003308,postcode_centroid,
FD485,BOOTS,SM6 8RG,51.358359,-0.148979,postcode_centroid,
FD495,BOOTS,EN2 6SN,51.651258,-0.083468,postcode_centroid,
FD501,BOOTS,KT6 4JZ,51.392519,-0.306334,postcode_centroid,
FD505,DAY LEWIS PHARMACY,BR1 2RG,51.405615,0.035433,postcode_centroid,
FD513,ROYAL DOCKS PHARMACY,E16 2TQ,51.50129,0.029738,postcode_centroid,
FD537,SOUTHCOTT CHEMIST,DA14 6QL,51.430459,0.085767,postcode_centroid,
FD551,PE LOGAN,SE10 9EQ,51.485714,0.006244,postcode_centroid,
FD567,PECKHAM HILL PHARMACY,SE15 5JZ,51.474697,-0.068645,postcode_centroid,
FD607,FOCAL POINT PHARMACY,E17 3LQ,51.589215,-0.001844,postcode_centroid,
FD616,PEARL CHEMIST,KT6 7DJ,51.3813,-0.282548,postcode_centroid,
FD649,NASH CHEMIST,E14 7HG,51.512327,-0.028904,postcode_centroid,
FD662,RIDDLESDOWN PHARMACY,CR8 1HR,51.333267,-0.098883,postcode_centroid,
FD668,CASTLE CHEMIST,NW2 2QJ,51.562869,-0.197921,postcode_centroid,
FD675,JETHROS HEALTHCARE PHARMACY,NW11 8HB,51.573886,-0.200386,postcode_centroid,
FD680,KEW PHARMACY,TW9 3PS,51.47744,-0.286213,postcode_centroid,
FD717,BEXLEYHEATH PHARMACY,DA7 4QW,51.464321,0.133066,postcode_centroid,
FD728,SHELDONS PHARMACY,IG2 6NE,51.576767,0.065254,postcode_centroid,
FD757,TRIDENT PHARMACY,SW20 8QY,51.41061,-0.229554,postcode_centroid,
FD779,ELECTRA PHARMACY,EN3 4GE,51.64274,-0.036551,postcode_centroid,
FD831,RAM PHARMACY,N15 3BL,51.586147,-0.089733,postcode_centroid,
FD905,FONTAIN PHARMACY,SW6 6BQ,51.481206,-0.212607,postcode_centroid,
FDA71,BOOTS,SE1 2HD,51.505667,-0.083359,postcode_centroid,
FDA72,DAY LEWIS PHARMACY,SW2 3DY,51.443797,-0.120602,postcode_centroid,
FDC23,BOOTS,EC4N 6AE,51.511715,-0.091377,postcode_centroid,
FDC25,CAMDEN PHARMACY HIGH STREET,NW1 7JE,51.534984,-0.13927,postcode_centroid,
FDC37,GAIGER CHEMIST,SM1 1PQ,51.368823,-0.194904,postcode_centroid,
FDC47,PEARL CHEMIST,SW17 9NH,51.424545,-0.163811,postcode_centroid,
FDD50,ELITE PHARMACY,UB6 0AL,51.543421,-0.34853,postcode_centroid,
FDD84,JMW VICARY LIMITED,TW11 9JD,51.421248,-0.319282,postcode_centroid,
FDE31,RITZ PHARMACY,NW3 6UA,51.556647,-0.178764,postcode_centroid,
FDE39,ALPHA PHARMACY,NW9 6LP,51.587178,-0.251597,postcode_centroid,
FDF35,BOOTS,BR6 0LS,51.376314,0.099327,postcode_centroid,
FDF87,PHILLIPS PHARMACY,SW4 8JP,51.451908,-0.135209,postcode_centroid,
FDK02,MEACHER HIGGINS & THOMAS,W1H 2HU,51.519509,-0.160456,postcode_centroid,
FDK37,BRITANNIA PHARMACY,IG3 8JB,51.57218,0.095236,postcode_centroid,
FDK71,THORNTON HEATH PHARMACY,CR7 8RU,51.398034,-0.093957,postcode_centroid,
FDK93,HARRIS CHEMIST,SE12 0EF,51.429634,0.020978,postcode_centroid,
FDL21,SILVERFIELDS CHEMISTS,E9 6AS,51.548897,-0.04055,postcode_centroid,
FDL55,ALPHA PHARMACY,N22 8ED,51.602377,-0.112951,postcode_centroid,
FDL63,PYRAMID PHARMACY,IG6 2AJ,51.592777,0.083941,postcode_centroid,
FDL81,SHIVO CHEMISTS,N19 3JF,51.564435,-0.130753,postcode_centroid,
FDM09,BRITCROWN PHARMACY,RM11 3UX,51.560485,0.228717,postcode_centroid,
FDM96,PRIME PHARMACY,SW13 9DW,51.485844,-0.232591,postcode_centroid,
FDN22,BOOTS,SW14 7NX,51.464319,-0.267787,postcode_centroid,
FDN26,YORK PHARMACY,N7 9LR,51.548695,-0.128297,postcode_centroid,
FDN37,FLORIDA PHARMACY,E2 6AH,51.526554,-0.065124,postcode_centroid,
FDN39,ST PETER'S PHARMACY,N1 8JR,51.534313,-0.098002,postcode_centroid,
FDN63,ACORN PHARMACY,NW7 3JR,51.621007,-0.254676,postcode_centroid,
FDN74,BOOTS,SW18 5LT,51.444986,-0.20507,postcode_centroid,
FDP99,PYRAMID PHARMACY,W14 9PR,51.487802,-0.204053,postcode_centroid,
FDQ41,HERBERT PHARMACY,SE18 3SH,51.480543,0.069416,postcode_centroid,
FDQ50,BOOTS,SW6 1BH,51.480576,-0.19846,postcode_centroid,
FDR11,JALLAS PHARMACY,W3 0BU,51.519019,-0.265813,postcode_centroid,
FDR42,PARADE PHARMACY,UB6 8PU,51.541981,-0.345856,postcode_centroid,
FDR83,GABHA PHARMACY,UB2 4DQ,51.500527,-0.382715,postcode_centroid,
FDR92,VE LETTSOM CHEMIST,SE5 8PQ,51.470687,-0.082378,postcode_centroid,
FDT86,TESCO INSTORE PHARMACY,RM3 0LL,51.593717,0.218575,postcode_centroid,
FDV53,BRAND-RUSSELL CHEMISTS LTD,EN4 8TD,51.642704,-0.163755,postcode_centroid,
FDV77,GUDKAS CHEMIST,NW10 0AD,51.560142,-0.251322,postcode_centroid,
FDV93,LORDS PHARMACY,SW17 0RR,51.426279,-0.170057,postcode_centroid,
FDW10,CHISWICK PHARMACY,W4 5UY,51.492891,-0.262484,postcode_centroid,
FDW13,BAUM PHARMACY,SE13 5PB,51.459012,-0.002585,postcode_centroid,
FDW42,WILKINSON CHEMIST,EN5 5SZ,51.656848,-0.201482,postcode_centroid,
FDW47,PHARMACYFORCE,E1 1DT,51.517757,-0.066102,postcode_centroid,
FDX49,LLOYD GEORGE PHARMACY,CR0 2JG,51.38502,-0.097746,postcode_centroid,
FDX68,BOOTS,UB6 0UW,51.541902,-0.340278,postcode_centroid,
FDX70,BOOTS,BR1 5AB,51.421271,0.021472,postcode_centroid,
FDY54,BOOTS,W1T 1BE,51.517532,-0.131536,postcode_centroid,
FDY88,SUPERDRUG PHARMACY,SE5 8RW,51.473164,-0.092569,postcode_centroid,
FE009,PURI CHEMISTS,UB2 5HE,51.500364,-0.386525,postcode_centroid,
FE026,COOPERS CHEMIST,N11 1AH,51.616461,-0.135622,postcode_centroid,
FE033,CLARKE PHARMACY,SW11 1TH,51.459715,-0.178797,postcode_centroid,
FE042,RUSHTON PHARMACY,HA3 0PS,51.572268,-0.294986,postcode_centroid,
FE047,THE HIGHGATE PHARMACY,N6 5HX,51.570958,-0.148018,postcode_centroid,
FE051,GOVANI CHEMISTS,RM14 1XN,51.563149,0.266146,postcode_centroid,
FE097,FALCONWOOD PHARMACY,DA16 2PL,51.456725,0.094494,postcode_centroid,
FE110,KINGSHIELD PHARMACY,SW9 7DE,51.464366,-0.114056,postcode_centroid,
FE112,BECKENHAM PHARMACY,BR3 3PR,51.405765,-0.033404,postcode_centroid,
FE127,MURRAYS CHEMIST,HA3 8BL,51.583613,-0.314755,postcode_centroid,
FE147,C.E. HARROD CHEMIST,SW6 4SR,51.473035,-0.19749,postcode_centroid,
FE164,VIRENS CHEMIST,N9 8AG,51.638768,-0.04801,postcode_centroid,
FE174,BOOTS,IG1 1DE,51.558829,0.071222,postcode_centroid,
FE194,SINCLAIRS,E1 3NN,51.517797,-0.039781,postcode_centroid,
FE207,MEDICINE CHEST,SW10 0LR,51.482653,-0.178042,postcode_centroid,
FE213,POND PHARMACY,BR7 5AF,51.418043,0.067338,postcode_centroid,
FE237,111 CHEMIST,HA2 8SW,51.560567,-0.371526,postcode_centroid,
FE289,ROOPSON PHARMACY,SE9 6UD,51.46684,0.052886,postcode_centroid,
FE292,BELMONT PHARMACY,HA3 8SB,51.600897,-0.319169,postcode_centroid,
FE297,REVELSTOKE PHARMACY,SW18 5AE,51.441714,-0.197572,postcode_centroid,
FE354,SUMER PHARMACY,W9 2HP,51.522689,-0.193757,postcode_centroid,
FE360,BOOTS,RM10 8RE,51.541091,0.148971,postcode_centroid,
FE374,MUHAMMADS PHARMACY,E12 6EA,51.552662,0.052695,postcode_centroid,
FE434,BOOTS,DA14 6EH,51.425763,0.10398,postcode_centroid,
FE438,SPRING PHARMACY LTD,N1 5LG,51.533721,-0.08045,postcode_centroid,
FE474,BLAKEBERRY LTD,E6 6EN,51.531475,0.055764,postcode_centroid,
FE513,BOOTS,N1C 4QL,51.53143,-0.126122,postcode_centroid,
FE533,MOUNTFORD CHEMISTS,EN4 8RR,51.650188,-0.174323,postcode_centroid,
FE652,ROHPHARM LIMITED,E13 0AL,51.531355,0.018734,postcode_centroid,
FE658,BOOTS,W12 8PP,51.503863,-0.21881,postcode_centroid,
FE672,BERG'S PHARMACY,E16 1EH,51.516286,0.010702,postcode_centroid,
FE675,BOOTS,SW19 3DA,51.404804,-0.192064,postcode_centroid,
FE678,KRY-BA PHARMACY,RM9 6XA,51.532096,0.146139,postcode_centroid,
FE715,THE PHARMACY HUT,DA7 6HN,51.465732,0.157651,postcode_centroid,
FE720,APEK PHARMACY,W2 1NT,51.51724,-0.172367,postcode_centroid,
FE801,DAVIS CHEMIST,SE5 8ET,51.459994,-0.090038,postcode_centroid,
FE805,BRITANNIA PHARMACY,RM14 2AD,51.553475,0.247315,postcode_centroid,
FE836,ANNA PHARMACY HACKBRIDGE,SM6 7FW,51.377481,-0.154918,postcode_centroid,
FE854,THE DISPENSARY,E10 6JP,51.571247,-0.008144,postcode_centroid,
FE883,BOOTS,SW20 8ND,51.409713,-0.229071,postcode_centroid,
FE884,SAFEDALE LTD,N16 9DL,51.557449,-0.090141,postcode_centroid,
FE907,HUGH LLOYD PHARMACY,NW11 6JJ,51.585636,-0.182687,postcode_centroid,
FE952,H.A. MCPARLAND,UB4 0SA,51.518983,-0.410572,postcode_centroid,
FEA03,DUNCANS PHARMACY,SE10 8JA,51.4776,-0.01472,postcode_centroid,
FEC26,CATFORD PHARMACY,SE6 1RG,51.440795,-0.001639,postcode_centroid,
FED17,GIMMACK CHEMIST,NW2 4NH,51.549537,-0.221194,postcode_centroid,
FED28,CARTERS PHARMACY,N12 8LT,51.613546,-0.177311,postcode_centroid,
FEE50,BUSH PHARMACY,W12 7LL,51.506639,-0.234063,postcode_centroid,
FEF06,COLLINS CHEMIST,W2 1HP,51.521295,-0.172319,postcode_centroid,
FEF09,BOOTS,SW3 1QP,51.498742,-0.16488,postcode_centroid,
FEF54,SURDOCK PHARMACY,SE16 2UN,51.49237,-0.046001,postcode_centroid,
FEF61,MANGO PHARMACY,UB8 2EP,51.526826,-0.482003,postcode_centroid,
FEF76,BEACONSFIELD PHARMACY,E17 8EE,51.57168,-0.026279,postcode_centroid,
FEF79,ACCESS PHARMACY,SE2 9BB,51.497776,0.115106,postcode_centroid,
FEG11,BOOTS,KT3 4EU,51.400702,-0.25547,postcode_centroid,
FEG25,SAFEDALE LTD,N16 0AP,51.562427,-0.078318,postcode_centroid,
FEG29,ACHEASON PHARMACY,E11 4HH,51.553496,0.005044,postcode_centroid,
FEG56,THE HAMPTON PHARMACY,TW12 3YH,51.426234,-0.378262,postcode_centroid,
FEH02,DAY LEWIS PHARMACY,E6 5JS,51.515574,0.056389,postcode_centroid,
FEJ40,GREENS PHARMACY,N13 6JU,51.611381,-0.109255,postcode_centroid,
FEJ51,SAI PHARMACY,E6 2HT,51.536788,0.052283,postcode_centroid,
FEJ54,FRIENDS PHARMACY,E5 0RN,51.552227,-0.052048,postcode_centroid,
FEJ78,BRITANNIA PHARMACY,E13 8QG,51.52526,0.029535,postcode_centroid,
FEJ80,TOUCHWOOD PHARMACY,SE26 4RS,51.426522,-0.055615,postcode_centroid,
FEJ93,GREEN LIGHT PHARMACY,N16 6QX,51.572435,-0.072254,postcode_centroid,
